NATIONAL FOREST,WILDERNESS,LAT,LONG,UTME,UTMN,ZONE,MONITORING SITE NAME,site_rename,DATE,TIME,SAMPLE TYPE,pH,ANC,SPECIFIC CONDUCTIVITY (SC),Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,COMMENT,Uncategorized
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-23-2002,1200,BLANK,5.64,3.8,1.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,BLANK,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE  ,ABYSS LAKE,07-14-2007,1135,BLANK,5.49,-2.75,1.44,0.0,0.0,0.0,0.0,0.0,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-13-2000,1000,DUPLICATE,6.6,95.5,14.7,0.49,0.0,0.33,0.21,2.44,0.07,0.13,0.44,0.0,1.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-27-2000,1445,DUPLICATE,6.7,104.5,16.89,0.61,0.15,0.35,0.22,2.39,0.09,0.11,0.97,0.0,1.83,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-23-2016,1100,DUPLICATE,6.51,83.06,23.1,0.93,0.01,0.41,0.26,3.3,0.07,0.16,1.59,0.0,2.72,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-29-2017,16:16,DUPLICATE,6.98,134.13,22.19,0.88,0.02,0.43,0.29,3.02,0.06,0.18,1.31,0.0,2.71,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-25-2020,1101,DUPLICATE,6.98,133.61,23.63,0.75,0.03,0.47,0.21,3.02,0.06,0.19,0.98,0.0,2.85,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-23-2002,1200,DUPLICATE,6.97,110.7,20.8,0.71,0.05,0.47,0.26,2.71,0.07,0.17,0.72,0.0,2.44,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-25-2002,1130,DUPLICATE,7.24,122.4,23.5,0.8,0.0,0.47,0.32,3.32,0.09,0.23,1.14,0.0,2.94,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-18-2003,1400,DUPLICATE,7.12,119.0,25.6,0.77,0.05,0.45,0.31,3.27,0.09,0.21,2.38,0.0,2.97,DUP,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,07-14-2007,1135,DUPLICATE,7.06,99.73,18.06,0.68,0.0,0.33,0.23,2.52,,,,,,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,08-26-2010,1430,DUPLICATE,6.84,116.19,19.46,0.56,0.06,0.17,0.3,2.95,0.07,0.17,1.2,0.0,2.37,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE ,ABYSS LAKE,09-27-2011,1443,DUPLICATE,7.21,105.47,19.11,0.73,0.0,0.34,0.08,2.33,0.07,0.14,1.31,0.0,2.26,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-13-2000,1000,REGULAR,6.49,90.1,14.57,0.48,0.0,0.33,0.21,2.42,0.07,0.12,0.45,0.0,1.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-27-2000,1445,REGULAR,6.74,105.5,16.91,0.61,0.15,0.39,0.22,2.38,0.09,0.11,0.98,0.0,1.83,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-27-2000,1320,REGULAR,7.14,89.5,18.58,0.64,0.02,0.41,0.24,2.56,0.06,0.14,1.32,0.0,2.02,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-23-2002,1200,REGULAR,7.04,111.6,20.7,0.65,0.04,0.44,0.25,2.69,0.08,0.19,0.73,0.0,2.46,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-23-2002,1115,REGULAR,7.16,118.5,21.6,0.73,0.0,0.46,0.28,2.93,0.0,0.2,0.99,0.0,2.63,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,09-25-2002,1130,REGULAR,7.19,122.2,22.8,0.81,0.0,0.46,0.32,3.41,0.09,0.22,1.13,0.0,2.96,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,07-10-2003,1530,REGULAR,7.14,99.46,19.93,0.59,0.0,0.41,0.21,2.34,0.07,0.21,1.0,0.0,2.13,,
PIKE NATIONAL FOREST,MOUNT EVANS WILDERNESS,39.58582,-105.65972,443347,4381997,13,ABYSS LAKE,ABYSS LAKE,08-24-2003,1145,REGULAR,7.15,98.1,22.1,0.68,0.02,0.44,0.26,2.76,0.08,0.21,1.51,0.0,2.58,,
